source_id,target_id,source_name,target_name,weight
51,59,Monica Cristina Moreno Brush,Sergio Quispe Rodriguez,0.6219000220298767
2,17,Helard Alvarez Sanchez,Fabien Cornillier,0.6215999722480774
83,69,Julio Ernesto Valdivia Silva,Harry Gustavo Saavedra Espinoza,0.6198999881744385
16,52,Xyoby Chavez Pacheco,Angel Napa Bernuy,0.619700014591217
86,11,Rafael Vera Pomalaza,Juan Bueno Villanueva,0.6172000169754028
16,65,Xyoby Chavez Pacheco,Jose Renom Andara,0.6172000169754028
50,76,Rensso Victor Hugo Mora Colque,Aurea Rossy Soriano Vargas,0.6159999966621399
50,31,Rensso Victor Hugo Mora Colque,Jorge Gonzalez Reaño,0.6146000027656555
79,23,Francisco Tarazona Vásquez,Alberto Donayre Torres,0.6144999861717224
83,13,Julio Ernesto Valdivia Silva,Ruth Canahuire Cabello,0.613099992275238
53,12,Julien Noel,Jhedmar Jhonatan Callupe Luna,0.6122000217437744
46,35,Milagros Lunga Calderón,Yuri Herrera Burstein,0.6119999885559082
90,66,Katia Zegarra Sierra,Alejandro Rios Cuadros,0.6069999933242798
69,39,Harry Gustavo Saavedra Espinoza,Deyby Huamanchahua Canchanya,0.605400025844574
69,40,Harry Gustavo Saavedra Espinoza,Dante Inga Narvaez,0.6053000092506409
83,6,Julio Ernesto Valdivia Silva,Andrés Julián Arias Moreno,0.603600025177002
0,35,José Manuel Aguilar Alfaro,Yuri Herrera Burstein,0.603600025177002
42,11,Enrique Juarez Aquino,Juan Bueno Villanueva,0.6032000184059143
0,26,José Manuel Aguilar Alfaro,Luis Ernesto Flores Luyo,0.6029999852180481
64,37,Pedro Rau Lavado,Daniel Vicente Horna Muñoz,0.6025000214576721
57,6,Carolina Parada Quinaya,Andrés Julián Arias Moreno,0.6015999913215637
56,73,Hermes Pantoja Carhuavilca,José Santiváñez Guarniz,0.6000000238418579
3,17,Claudia Antonini Bova,Fabien Cornillier,0.5996000170707703
30,74,Germain García Zanabria,Yamilet Rosario Serrano Llerena,0.5982999801635742
35,4,Yuri Herrera Burstein,Sergio Aranda Egusquiza,0.5979999899864197
25,15,Elena Flores Barreda,Samuel Charca Mamani,0.5972999930381775
2,60,Helard Alvarez Sanchez,Elmer Ramirez Quiroz,0.5968000292778015
34,32,Julio Gutierrez Alva,Leo Guerrero,0.5947999954223633
3,34,Claudia Antonini Bova,Julio Gutierrez Alva,0.5927000045776367
16,33,Xyoby Chavez Pacheco,Juan Gabriel Gutierrez Alva,0.5914000272750854
53,2,Julien Noel,Helard Alvarez Sanchez,0.5889999866485596
80,4,Jimmy Tarrillo Olano,Sergio Aranda Egusquiza,0.5889000296592712
71,86,Nedher Sanchez Ramirez,Rafael Vera Pomalaza,0.5878000259399414
56,32,Hermes Pantoja Carhuavilca,Leo Guerrero,0.5878000259399414
80,74,Jimmy Tarrillo Olano,Yamilet Rosario Serrano Llerena,0.5871999859809875
