source_id,target_id,source_name,target_name,relation,key,weight
70,74,Heider Sánchez Enriquez,Yamilet Rosario Serrano Llerena,research_area_predicted,w2v_sif_cosine,0.8587
30,76,Germain García Zanabria,Aurea Rossy Soriano Vargas,research_area_predicted,w2v_sif_cosine,0.8275
6,85,Andrés Julián Arias Moreno,Emir Augusto Vela Saavedra,research_area_predicted,w2v_sif_cosine,0.8264
74,50,Yamilet Rosario Serrano Llerena,Rensso Victor Hugo Mora Colque,research_area_predicted,w2v_sif_cosine,0.8071
41,69,Elvis Jara Alegria,Harry Gustavo Saavedra Espinoza,research_area_predicted,w2v_sif_cosine,0.794
41,50,Elvis Jara Alegria,Rensso Victor Hugo Mora Colque,research_area_predicted,w2v_sif_cosine,0.7928
52,65,Angel Napa Bernuy,Jose Renom Andara,research_area_predicted,w2v_sif_cosine,0.7592
9,74,Jesús Edwin Bellido Angulo,Yamilet Rosario Serrano Llerena,research_area_predicted,w2v_sif_cosine,0.7385
3,44,Claudia Antonini Bova,Jose Larco Martinelli,research_area_predicted,w2v_sif_cosine,0.735
30,74,Germain García Zanabria,Yamilet Rosario Serrano Llerena,research_area_predicted,w2v_sif_cosine,0.7305
47,6,José Luis Mantari Laureano,Andrés Julián Arias Moreno,research_area_predicted,w2v_sif_cosine,0.7283
85,47,Emir Augusto Vela Saavedra,José Luis Mantari Laureano,research_area_predicted,w2v_sif_cosine,0.6566
3,52,Claudia Antonini Bova,Angel Napa Bernuy,research_area_predicted,w2v_sif_cosine,0.6553
3,81,Claudia Antonini Bova,Jorge Tipe Villanueva,research_area_predicted,w2v_sif_cosine,0.6466
16,44,Xyoby Chavez Pacheco,Jose Larco Martinelli,research_area_predicted,w2v_sif_cosine,0.6417
17,3,Fabien Cornillier,Claudia Antonini Bova,research_area_predicted,w2v_sif_cosine,0.6316
65,17,Jose Renom Andara,Fabien Cornillier,research_area_predicted,w2v_sif_cosine,0.5893
62,84,José Ramos Saravia,Elba Rosaura Vazques Arrieta,research_area_predicted,w2v_sif_cosine,0.4705
9,12,Jesús Edwin Bellido Angulo,Jhedmar Jhonatan Callupe Luna,research_area_predicted,w2v_sif_cosine,0.461
48,46,Giancarlo Marcone Flores,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.4554
52,16,Angel Napa Bernuy,Xyoby Chavez Pacheco,research_area_predicted,w2v_sif_cosine,0.4508
44,81,Jose Larco Martinelli,Jorge Tipe Villanueva,research_area_predicted,w2v_sif_cosine,0.4461
62,4,José Ramos Saravia,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.4453
9,70,Jesús Edwin Bellido Angulo,Heider Sánchez Enriquez,research_area_predicted,w2v_sif_cosine,0.4382
